Employee ID,Title,BusinessUnit,EmployeeStatus,EmployeeType,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3427,Production Technician I,CCDR,Active,Contract,White,Widowed,Fully Meets,4,14-01-2023,1,2,3,15-Jul-23,Leadership Development,Internal,Failed,2,606.11,50
3428,Production Technician I,EW,Active,Contract,Hispanic,Widowed,Fully Meets,3,09-09-2022,2,1,5,12-Sep-22,Customer Service,External,Incomplete,4,673.02,58
3429,Area Sales Manager,PL,Active,Full-Time,Hispanic,Widowed,Fully Meets,4,27-05-2023,1,2,1,13-Aug-22,Leadership Development,External,Failed,2,413.28,27
3430,Area Sales Manager,CCDR,Active,Contract,Other,Single,Fully Meets,2,16-06-2023,5,5,4,15-Dec-22,Project Management,External,Completed,3,663.78,23
3431,Area Sales Manager,TNS,Active,Contract,Other,Married,Fully Meets,3,25-11-2022,2,5,3,13-Jul-23,Technical Skills,External,Failed,5,399.03,50
3432,Area Sales Manager,BPC,Active,Contract,Black,Married,Fully Meets,3,12-12-2022,2,3,5,18-Apr-23,Project Management,Internal,Passed,2,820.33,71
3433,Area Sales Manager,WBL,Active,Full-Time,Hispanic,Divorced,Exceeds,4,25-03-2023,1,5,2,06-Aug-22,Customer Service,External,Passed,5,295.08,80
3434,Area Sales Manager,CCDR,Active,Contract,White,Divorced,Fully Meets,2,21-04-2023,1,4,2,07-Oct-22,Leadership Development,Internal,Passed,3,790.15,63
3435,Area Sales Manager,NEL,Active,Contract,Black,Widowed,Exceeds,3,09-12-2022,4,3,3,19-Jul-23,Customer Service,Internal,Passed,3,798.4,44
3436,Area Sales Manager,BPC,Active,Part-Time,Asian,Widowed,Fully Meets,5,30-07-2023,5,5,2,09-Apr-23,Leadership Development,Internal,Failed,5,192.61,73
3437,Area Sales Manager,SVG,Active,Contract,Other,Single,Fully Meets,5,15-10-2022,3,2,5,20-Oct-22,Technical Skills,Internal,Failed,1,455.68,59
3438,Area Sales Manager,MSC,Active,Full-Time,Asian,Married,Fully Meets,3,28-10-2022,4,2,5,05-Oct-22,Technical Skills,Internal,Failed,2,208.17,70
3439,Area Sales Manager,EW,Active,Full-Time,Other,Single,Fully Meets,3,30-10-2022,1,2,5,09-Mar-23,Technical Skills,External,Incomplete,1,421.07,41
3440,Area Sales Manager,CCDR,Active,Contract,White,Divorced,Fully Meets,3,24-09-2022,1,4,5,29-May-23,Communication Skills,External,Failed,1,649.03,68
3441,Area Sales Manager,BPC,Active,Part-Time,Asian,Widowed,Exceeds,4,30-10-2022,4,2,5,08-Jan-23,Project Management,Internal,Passed,4,450.2,30
3442,Area Sales Manager,PYZ,Active,Full-Time,Black,Single,Exceeds,2,31-10-2022,2,5,3,06-Mar-23,Project Management,External,Failed,4,286.87,67
3443,Area Sales Manager,WBL,Active,Full-Time,Asian,Widowed,Fully Meets,3,29-04-2023,2,2,4,18-Feb-23,Technical Skills,External,Failed,3,402.13,27
3444,Area Sales Manager,NEL,Active,Contract,Other,Widowed,Fully Meets,3,14-12-2022,1,2,4,02-Nov-22,Technical Skills,External,Failed,2,388.84,38
3445,Area Sales Manager,PL,Active,Contract,Other,Married,Exceeds,4,07-05-2023,4,5,2,14-Jul-23,Project Management,External,Completed,2,879.64,36
3446,Area Sales Manager,BPC,Active,Part-Time,White,Divorced,Exceeds,2,21-05-2023,4,3,5,11-Dec-22,Technical Skills,Internal,Failed,5,701.13,25
3450,Area Sales Manager,MSC,Active,Contract,Other,Single,Exceeds,2,18-01-2023,4,3,5,12-Jan-23,Technical Skills,Internal,Completed,4,186.07,26
3451,Area Sales Manager,TNS,Active,Contract,Other,Divorced,Exceeds,3,29-04-2023,5,1,2,22-Mar-23,Technical Skills,External,Completed,1,921.97,53
3452,Area Sales Manager,PYZ,Active,Part-Time,Black,Divorced,Fully Meets,2,19-01-2023,5,5,2,13-Sep-22,Customer Service,Internal,Failed,1,691.04,75
3453,Area Sales Manager,WBL,Active,Contract,White,Widowed,Fully Meets,4,17-09-2022,5,5,3,25-Aug-22,Customer Service,External,Completed,5,964.44,40
3454,Area Sales Manager,PYZ,Active,Full-Time,Hispanic,Married,Needs Improvement,4,14-03-2023,4,4,2,07-Feb-23,Communication Skills,Internal,Passed,3,184.9,52
3455,Area Sales Manager,WBL,Active,Full-Time,Other,Widowed,Exceeds,4,12-08-2022,2,1,1,17-Mar-23,Project Management,External,Passed,1,220.41,22
3456,Area Sales Manager,NEL,Active,Full-Time,Black,Divorced,Fully Meets,3,30-03-2023,4,3,4,08-Jun-23,Technical Skills,External,Passed,2,336.82,77
3457,Area Sales Manager,PL,Active,Full-Time,White,Divorced,Needs Improvement,3,21-04-2023,5,1,4,15-Apr-23,Customer Service,External,Completed,4,485.73,73
3460,Area Sales Manager,SVG,Active,Full-Time,Asian,Married,Fully Meets,3,16-11-2022,4,3,3,08-Jul-23,Communication Skills,External,Incomplete,5,919.52,76
3462,Area Sales Manager,MSC,Active,Contract,Hispanic,Divorced,Needs Improvement,3,08-11-2022,3,3,1,19-Jul-23,Project Management,External,Completed,1,320.01,76
3463,Area Sales Manager,TNS,Active,Part-Time,Hispanic,Single,Fully Meets,1,18-09-2022,4,3,4,29-Aug-22,Technical Skills,Internal,Incomplete,4,926.19,69
3464,Area Sales Manager,PYZ,Active,Contract,Black,Widowed,Needs Improvement,5,29-12-2022,2,5,3,13-Nov-22,Customer Service,External,Passed,2,290.47,20
3465,Area Sales Manager,WBL,Active,Full-Time,Asian,Divorced,Needs Improvement,3,19-05-2023,5,4,3,04-Jun-23,Communication Skills,External,Incomplete,1,706.1,59
3466,Area Sales Manager,PYZ,Active,Part-Time,Other,Married,Exceeds,4,04-08-2023,1,3,4,07-Dec-22,Customer Service,External,Passed,3,447.66,43
3467,Area Sales Manager,WBL,Active,Contract,Asian,Divorced,Exceeds,1,27-06-2023,4,3,2,24-Feb-23,Technical Skills,Internal,Incomplete,1,759.7,33
3468,Area Sales Manager,NEL,Active,Contract,Black,Single,Fully Meets,4,05-02-2023,3,1,3,10-May-23,Customer Service,Internal,Completed,3,180.63,21
3471,Area Sales Manager,CCDR,Active,Part-Time,Asian,Married,Fully Meets,4,30-04-2023,2,4,1,23-Mar-23,Customer Service,External,Passed,3,109.98,53
3472,Area Sales Manager,SVG,Active,Contract,Other,Married,Exceeds,4,26-07-2023,5,5,4,12-Feb-23,Technical Skills,External,Completed,5,537.24,41
3473,Area Sales Manager,EW,Active,Part-Time,Hispanic,Widowed,Exceeds,2,28-06-2023,3,4,4,06-Dec-22,Communication Skills,External,Failed,5,789.99,73
3474,Area Sales Manager,MSC,Active,Full-Time,Other,Divorced,Fully Meets,2,09-05-2023,3,1,2,01-Sep-22,Customer Service,External,Incomplete,5,155.51,55
3475,Area Sales Manager,TNS,Active,Full-Time,Asian,Widowed,Fully Meets,2,25-01-2023,4,3,4,02-Nov-22,Customer Service,Internal,Passed,2,648.76,64
3476,Area Sales Manager,PYZ,Active,Part-Time,Asian,Divorced,Needs Improvement,2,03-03-2023,5,5,3,18-Nov-22,Leadership Development,Internal,Incomplete,4,533.5,78
3477,Area Sales Manager,PYZ,Active,Part-Time,Asian,Widowed,Needs Improvement,2,05-12-2022,1,2,1,07-Nov-22,Leadership Development,External,Failed,5,429.48,50
3478,Area Sales Manager,WBL,Active,Full-Time,Hispanic,Married,Fully Meets,2,29-11-2022,3,4,1,05-Oct-22,Technical Skills,External,Incomplete,1,526.74,61
3479,Area Sales Manager,NEL,Active,Contract,Hispanic,Widowed,Fully Meets,2,03-11-2022,4,4,4,18-Jan-23,Communication Skills,Internal,Passed,3,443.45,60
3483,Area Sales Manager,SVG,Active,Part-Time,Asian,Widowed,Fully Meets,1,23-10-2022,1,4,5,10-Aug-22,Project Management,External,Passed,4,111.96,57
3484,Area Sales Manager,EW,Active,Part-Time,Other,Single,Fully Meets,4,16-09-2022,1,2,4,27-Jun-23,Project Management,External,Passed,1,795.7,23
3485,Area Sales Manager,MSC,Active,Contract,White,Widowed,Fully Meets,5,07-05-2023,2,1,3,07-Aug-22,Customer Service,Internal,Passed,2,796.45,27
3486,Area Sales Manager,TNS,Active,Part-Time,Other,Widowed,Fully Meets,4,27-08-2022,3,1,1,23-Jul-23,Project Management,Internal,Completed,5,812.59,32
3487,Area Sales Manager,BPC,Active,Contract,Other,Divorced,Fully Meets,4,23-09-2022,5,4,1,17-Jul-23,Project Management,External,Completed,5,132.97,29
3488,Area Sales Manager,CCDR,Active,Contract,Asian,Single,Fully Meets,2,11-03-2023,1,5,1,20-Sep-22,Communication Skills,Internal,Completed,1,308.19,25
3489,Area Sales Manager,EW,Active,Part-Time,Black,Divorced,Fully Meets,2,03-12-2022,2,4,5,02-Jul-23,Project Management,Internal,Passed,1,131.41,69
3490,Area Sales Manager,MSC,Active,Part-Time,Hispanic,Divorced,Fully Meets,2,12-10-2022,5,3,2,19-Jul-23,Technical Skills,Internal,Failed,3,389.59,28
3491,Area Sales Manager,NEL,Active,Contract,White,Widowed,Fully Meets,5,10-09-2022,3,4,5,14-Jul-23,Project Management,Internal,Incomplete,3,442.56,48
3492,Area Sales Manager,PL,Active,Full-Time,Asian,Married,Fully Meets,1,13-01-2023,1,5,5,06-Sep-22,Project Management,Internal,Incomplete,3,327.66,26
3493,Area Sales Manager,PYZ,Active,Full-Time,Asian,Widowed,Fully Meets,5,02-04-2023,3,1,5,19-Feb-23,Project Management,Internal,Completed,3,400.95,35
3494,Area Sales Manager,SVG,Active,Contract,Black,Single,Fully Meets,4,15-12-2022,1,2,1,11-Feb-23,Technical Skills,Internal,Completed,2,910.45,26
3495,Area Sales Manager,TNS,Active,Part-Time,Other,Married,Fully Meets,4,08-09-2022,4,3,5,21-Dec-22,Customer Service,External,Passed,1,701.55,30
3496,Area Sales Manager,WBL,Active,Contract,Other,Widowed,Fully Meets,5,26-12-2022,1,3,2,16-Feb-23,Project Management,Internal,Incomplete,1,806.87,57
3497,Area Sales Manager,TNS,Active,Part-Time,Hispanic,Widowed,Fully Meets,1,18-09-2022,2,3,4,11-Mar-23,Communication Skills,Internal,Completed,2,184.21,40
3498,Area Sales Manager,PYZ,Active,Full-Time,White,Widowed,Fully Meets,2,19-06-2023,3,3,4,30-May-23,Project Management,External,Failed,1,208.43,25
3499,Area Sales Manager,WBL,Active,Part-Time,Asian,Widowed,Fully Meets,5,21-07-2023,5,3,5,30-Jan-23,Technical Skills,Internal,Incomplete,2,762.45,47
3500,Area Sales Manager,NEL,Active,Full-Time,White,Divorced,Fully Meets,1,14-05-2023,4,1,4,15-Jun-23,Leadership Development,External,Incomplete,4,779.79,18
3502,Area Sales Manager,BPC,Active,Full-Time,White,Married,Fully Meets,1,24-04-2023,5,3,5,03-Jan-23,Customer Service,External,Incomplete,3,427.12,43
